SHOP_ID	SHOP_NO	SHOP_NAME	CORP_NAME	MOBILE	店铺状态
21384	80000642	温碧泉官方旗舰店	广州市温碧泉电子商务有限公司	13411081648	营业中
21358	80000655	多乐士旗舰店	广东诚美经济发展有限公司	13556125553	营业中
21302	80000683	海普伊珊饰品旗舰店	石家庄海普电子商务有限公司	13473882666	营业中
21544	80000704	苏泊尔炊具旗舰店	北京市美业电器经营中心	13436605370	营业中
21636	80000737	关耳窑旗舰店	厦门关耳窑文化传播有限公司	13799345789	营业中
21622	80000744	惠通达行食品专营店	北京惠通达行商贸有限公司	15600595215	营业中
21588	80000761	莱尔诗丹旗舰店	北京嘉华信诚建材有限公司	15811142388	营业中
21554	80000778	婧麒旗舰店	南昌市婧麒服饰有限公司	13870084130	营业中
21552	80000779	朗邦酒类专营店	广西桂林朗邦商贸有限公司	18978380109	营业中
21922	80000782	蕾舒旗舰店	佛山市穗龙家具有限公司	13790043911	营业中
21512	80000789	雷士赛因美亚专营店	北京明晨兴业商贸有限公司	18910055155	营业中
21470	80000807	张小泉官方旗舰店	杭州张小泉电子商务有限公司	15381033250	营业中
21508	80000814	凯仕达官方旗舰店	石狮市荣翔电子商务有限公司	15980856155	营业中
21734	80000838	备优POLOPA旗舰店	上海备优安全防范科技有限公司	13788921088	营业中
21736	80000842	艺福堂茗茶官方旗舰店	杭州艺福堂茶业有限公司	13968014603	营业中
21690	80000865	三利旗舰店	优美客（北京）科技有限公司	18612796707	营业中
22160	80000889	国际名表专营店	瑞利时国际贸易（北京）有限公司	13436697191	营业中
22102	80000932	丁威特旗舰店	深圳市凯隆科技有限公司	13725584911	营业中
21824	80000975	斐格旗舰店	泰安启翔商贸有限公司	18653895157	营业中
21794	80000990	1919酒类旗舰店	四川易玖电子商务有限公司	13308049671	营业中
21894	80001040	零兑金旗舰店	深圳市零兑金号黄金供应链服务有限公司	18948186166	营业中
22380	80001074	悦宏宝丽虎牌保险柜专卖店	北京悦宏宝丽科贸有限公司	13911387886	营业中
22174	80001084	天王表官方旗舰店	深圳市时计宝商贸有限公司	18718565322	营业中
22212	80001102	贝福家得母婴专营店	贝福家得（北京）医疗科技有限公司	15201225560	营业中
22226	80001109	邦诺车品专营店	上海邦诺贸易有限公司	13917892536	营业中
22228	80001110	乔氏车品旗舰店	厦门阿乔汽车用品有限公司	15880219159	营业中
22240	80001116	耀邦母婴专营店	西安耀邦商贸有限公司	18966821207	营业中
22290	80001141	创世鸿锦专营店	北京创世鸿锦科技发展有限公司	13810821191	营业中
22314	80001153	金威能照明专营店	北京市金威能经贸中心	13001235003	营业中
23728	80001787	双立人旗舰店	上海飞鱼秀实业有限公司	15901957912	营业中
23716	80001792	镜界眼镜专营店	东莞市镜界贸易有限公司 	15812893907	营业中
23734	80001794	旭创美的冰箱专卖店	河北旭创商贸有限公司	13366011600	营业中
23738	80001797	奕辰家居官方旗舰店	南昌奕云贸易有限公司	18970067858	营业中
23742	80001798	中视户外用品专营店	北京中视互联电子商务有限公司	13071132826	营业中
23824	80001830	融网通电器专营店	武汉融网通电子商务有限公司	13429894249	营业中
23844	80001833	双乐电器专营店	义乌市双乐电子商务有限公司	18006518283	营业中
23790	80001850	美骆世家旗舰店	厦门澳拜贸易有限公司	13860743448	营业中
23860	80001859	Garmin佳明旗舰店	北京星火伟业科技有限公司	13811301165	营业中
23922	80001868	牧童家居专营店	北京牧童天趣科技有限公司	15810077078	营业中
23928	80001874	玺泽卫浴旗舰店	上海玺陶卫浴有限公司	15976375500	营业中
23936	80001875	传福电器专营店	浙江传福电器有限公司	18611739578	营业中
23958	80001909	老A旗舰店	上海购福电子商务有限公司	13816955446	营业中
24018	80001914	联想华北授权专卖店	北京新昕互动电子科技发展有限公司	13811272194	营业中
24036	80001928	京英宝贝母婴专营店	北京京英双诚商贸有限公司	18618466281	营业中
24050	80001934	奇酷母婴官方旗舰店	美佳爽（福建）卫生用品有限公司	15859556727	营业中
24058	80001948	思明思家居专营店	北京思明思科贸有限公司	13269380862	营业中
24138	80001985	罗格朗旗舰店	北京汇电通电气有限公司	17875042208	营业中
24066	80001988	万家乐旗舰店	倍适（北京）科技有限公司	13521110685	营业中
24190	80002016	方太官方旗舰店	宁波方太营销有限公司	15757808313	营业中
24208	80002022	公牛电器官方旗舰店	上海公牛电器有限公司	13524037787	营业中
24242	80002031	禾煜旗舰店	上海裕田农业科技有限公司	15140578218	营业中
24222	80002043	苏泊尔厨房电器专卖店	北京京东世强商贸有限公司	13810555022	营业中
24280	80002059	汇源果汁官方旗舰店	北京汇源食品饮料有限公司北京销售中心	18610108004	营业中
24340	80002075	旭尧美的空调专卖店	北京旭尧文轩商贸有限公司	15611910172	营业中
24352	80002092	聚安保险箱专营店	北京聚安创想电子商务有限公司	15330225372	营业中
24444	80002118	康比特官方旗舰店	北京康比特体育科技股份有限公司	18511090026	营业中
24450	80002122	顶立酒业名酒旗舰店	天津顶立酒业有限公司	15620411079	营业中
24684	80002230	车品弘智专营店	上海首维电子科技发展有限公司	18817359373	营业中
24690	80002240	立都环保专营店	上海立都环保科技有限公司	13817005766	营业中
24722	80002258	欧得利珠宝旗舰店	深圳市艾语首饰有限公司	13502870462	营业中
24712	80002261	爱丽思官方旗舰店	大连爱丽思欧雅玛发展有限公司	13451987009	营业中
24714	80002263	诗薇儿官方旗舰店	深圳市兴美泰商贸有限公司	18218804910	营业中
24910	80002347	名庄靓年官方旗舰店	上海名庄靓年国际贸易有限公司	18602171919	营业中
25002	80002373	立德立康（美德乐）母婴专营店	立德立康（北京）商贸有限公司	18066610166	营业中
25044	80002405	嘉美家居旗舰店	安吉嘉美家具有限公司	13754240671	营业中
25132	80002455	合富荣数码专营店	深圳市合富荣科技有限公司	13824323292	营业中
25134	80002456	缤纷荣锦数码专营店	北京缤纷荣锦商贸有限公司	18601191072	营业中
